ticket customer,ticket number,ticket subject,tech,ticket initial issue,ticket status,ticket issue type,ticket created,ticket contact,ticket priority
Common Contacts,13615,Email account configuration issue on mobile device,tim the tech,I’m unable to access the local file server. The connection keeps timing out.,Waiting for Parts,Move Add change,11/7/2024 13:44,christopher lee,urgent
common contacts,15874,Application crashes upon startup,Tim the Tech,I cannot connect my computer to the conference room projector. The screen is not displaying anything.,In Progress,Other,7/5/2024 12:13,Jessica Wilson,Urgent
common contacts,16838,VPN login credentials not accepted,Daniel hedges,The backup of important company files failed. I need assistance with resolving the backup issue.,Completed,SOS,11/10/2024 19:45,Samantha Knapp,Medium
common contacts,17506,Unable to retrieve deleted email,Lindsey Syncro,My network cable is not detected on my desktop. The network icon shows no connection.,Waiting on Customer,Other,7/23/2024 17:40,Erin Harris,High
common contacts,18685,Browser not loading certain websites correctly,Daniel Hedges,My emails are not syncing between my phone,Scheduled,Move Add Change,8/29/2024 16:26,Kiara Alvarado,High
common contacts,17354,Bluetooth connectivity issues on laptop,lindsey Syncro,The office phone system is not connecting. I can’t make or receive calls.,New,Networking,5/27/2024 13:43,Joanna Pugh,High
common contacts,15437,Issues with network adapter settings,Tim the Tech,The application is giving an error message after the latest update. It crashes when I try to launch it.,Completed,Helpdesk,3/22/2024 16:03,Kathy Ross,Medium
common contacts,11359,Incorrect network drive mapping,Lindsey Syncro,"I cannot connect to a shared network folder. I get a ""Network Path Not Found"" error.",Scheduled,Other,5/21/2024 6:23,John Delgado,Urgent
common contacts,12064,Computer unable to connect to external monitor,Daniel Hedges,After turning on my computer,Scheduled,Onsite,11/3/2024 18:10,Michael Davidson,Urgent
common contacts,16897,Unable to update Windows OS,Lindsey Syncro,I cannot retrieve deleted emails from my email account. The option is not showing in the settings.,Waiting on Customer,Request,6/19/2024 0:58,Elizabeth Orozco,Urgent
common contacts,13944,Unable to retrieve files from network storage,Tim the Tech,The login times are unusually slow after the latest update. It takes several minutes to log in.,Completed,Networking,12/5/2024 16:51,David Clayton,Urgent
common contacts,16432,New employee setup: Software and hardware installation,Tim the Tech,My device is unable to connect to the Wi-Fi network. It keeps disconnecting or fails to find the network.,New,Break Fix,4/24/2024 20:09,Perry Williams,High
common contacts,13907,Unable to print from mobile devices,Tim the Tech,I need more RAM installed on my office computer to improve performance for resource-heavy tasks.,Completed,Remote Support,5/28/2024 2:59,Pamela Bates,Low
common contacts,10542,Software freezing during installation,Daniel Hedges,The remote desktop display resolution is incorrect. I can’t see the full screen.,Customer Reply,Helpdesk,9/18/2024 16:38,John Richards IV,Medium
common contacts,10792,Internet connection dropping intermittently,Lindsey Syncro,The backup of important company files failed. I need assistance with resolving the backup issue.,Waiting for Parts,Networking,1/22/2025 12:37,David Gibbs,Medium
common contacts,10490,Unable to update Windows OS,Tim the Tech,"I cannot access my team’s shared calendar. I get an error saying ""Access Denied.""",In Progress,Request,3/31/2024 19:21,Jeffery Henson,Medium
